Station ID,Year,Month,Day of Month,Day of Year,Day of Week,Season,Holiday,Daily Weather,Daily Weather (Past),Humidity,Humidity (Past),Windspeed,Windspeed (Past),Apparent Temperature (Avg),Apparent Temperature (Avg) (Past),Rented Bikes,Rented Bikes (Future)
838,2018,10,11,284,4,Autumn,False,partly-cloudy-day,partly-cloudy-day,0.8,0.8,10.31,7.42,63.47,66.655,11,16
838,2018,10,12,285,5,Autumn,False,wind,partly-cloudy-day,0.71,0.8,15.63,10.31,68.055,63.47,16,2
838,2018,10,14,287,7,Autumn,False,partly-cloudy-day,wind,0.89,0.67,4.74,14.05,54.42,66.235,2,15
838,2018,10,15,288,1,Autumn,False,fog,partly-cloudy-day,0.95,0.89,6.15,4.74,57.635,54.42,15,27
838,2018,10,16,289,2,Autumn,False,fog,fog,0.86,0.95,5.77,6.15,60.375,57.635,27,26
838,2018,10,17,290,3,Autumn,False,partly-cloudy-day,fog,0.9,0.86,2.22,5.77,53.7,60.375,26,31
838,2018,10,18,291,4,Autumn,False,partly-cloudy-day,partly-cloudy-day,0.8,0.9,6.87,2.22,50.035,53.7,31,13
838,2018,10,19,292,5,Autumn,False,partly-cloudy-night,partly-cloudy-day,0.8,0.8,3.14,6.87,51.435,50.035,13,7
838,2018,10,20,293,6,Autumn,False,partly-cloudy-night,partly-cloudy-night,0.8,0.8,3.64,3.14,55.035,51.435,7,5
838,2018,10,21,294,7,Autumn,False,partly-cloudy-night,partly-cloudy-night,0.8,0.8,4.17,3.64,53.105,55.035,5,23
838,2018,10,22,295,1,Autumn,False,partly-cloudy-night,partly-cloudy-night,0.66,0.8,7.08,4.17,46.825,53.105,23,20
838,2018,10,23,296,2,Autumn,False,partly-cloudy-night,partly-cloudy-night,0.75,0.66,8.81,7.08,56.735,46.825,20,36
838,2018,10,24,297,3,Autumn,False,partly-cloudy-day,partly-cloudy-night,0.8,0.75,7.35,8.81,51.205,56.735,36,26
838,2018,10,25,298,4,Autumn,False,partly-cloudy-day,partly-cloudy-day,0.82,0.8,5.87,7.35,50.685,51.205,26,24
838,2018,10,26,299,5,Autumn,False,partly-cloudy-day,partly-cloudy-day,0.75,0.82,9.58,5.87,40.465,50.685,24,1
838,2018,10,27,300,6,Autumn,False,partly-cloudy-night,partly-cloudy-day,0.77,0.75,9.72,9.58,35.77,40.465,1,4
838,2018,10,28,301,7,Autumn,False,partly-cloudy-day,partly-cloudy-night,0.81,0.77,9.67,9.72,37.29,35.77,4,29
838,2018,10,29,302,1,Autumn,False,partly-cloudy-night,partly-cloudy-day,0.78,0.81,7.89,9.67,22.06,37.29,29,22
838,2018,10,30,303,2,Autumn,False,partly-cloudy-day,partly-cloudy-night,0.81,0.78,8.78,7.89,15.935,22.06,22,21
838,2018,11,7,311,3,Autumn,False,partly-cloudy-day,fog,0.86,0.88,12.62,7.99,47.39,56.325,21,21
838,2018,11,8,312,4,Autumn,False,partly-cloudy-day,partly-cloudy-day,0.78,0.86,8.85,12.62,48.73,47.39,21,18
838,2018,11,9,313,5,Autumn,False,wind,partly-cloudy-day,0.85,0.78,10.51,8.85,51.015,48.73,18,4
838,2018,11,10,314,6,Autumn,False,partly-cloudy-day,wind,0.9,0.85,8.41,10.51,51.42,51.015,4,3
838,2018,11,11,315,7,Autumn,False,partly-cloudy-day,partly-cloudy-day,0.82,0.9,8.76,8.41,50.995,51.42,3,24
838,2018,11,12,316,1,Autumn,False,partly-cloudy-day,partly-cloudy-day,0.84,0.82,8.98,8.76,49.945,50.995,24,25
838,2018,11,13,317,2,Autumn,False,partly-cloudy-night,partly-cloudy-day,0.8,0.84,8.64,8.98,51.769999999999996,49.945,25,20
838,2018,11,14,318,3,Autumn,False,partly-cloudy-day,partly-cloudy-night,0.83,0.8,7.56,8.64,54.11,51.769999999999996,20,25
