Station ID,Year,Month,Day of Month,Day of Year,Day of Week,Season,Holiday,Daily Weather,Daily Weather (Past),Humidity,Humidity (Past),Windspeed,Windspeed (Past),Apparent Temperature (Avg),Apparent Temperature (Avg) (Past),Rented Bikes,Rented Bikes (Future)
831,2018,2,7,38,3,Winter,False,partly-cloudy-day,partly-cloudy-day,0.77,0.74,3.42,3.75,32.945,31.395000000000003,1,3
831,2018,2,12,43,1,Winter,False,partly-cloudy-day,partly-cloudy-day,0.74,0.74,3.95,7.26,36.875,33.135000000000005,3,4
831,2018,2,14,45,3,Winter,False,rain,rain,0.89,0.86,5.58,5.1,37.585,35.75,4,3
831,2018,2,15,46,4,Winter,False,partly-cloudy-night,rain,0.78,0.89,4.51,5.58,39.72,37.585,3,4
831,2018,2,16,47,5,Winter,False,clear-day,partly-cloudy-night,0.75,0.78,1.92,4.51,41.39,39.72,4,4
831,2018,2,17,48,6,Winter,False,partly-cloudy-night,clear-day,0.78,0.75,1.26,1.92,43.12,41.39,4,11
831,2018,2,18,49,7,Winter,False,partly-cloudy-day,partly-cloudy-night,0.84,0.78,2.19,1.26,47.015,43.12,11,5
831,2018,2,19,50,1,Winter,False,fog,partly-cloudy-day,0.93,0.84,2.06,2.19,48.05,47.015,5,2
831,2018,2,20,51,2,Winter,False,partly-cloudy-day,fog,0.86,0.93,5.42,2.06,40.55,48.05,2,3
831,2018,2,21,52,3,Winter,False,partly-cloudy-night,partly-cloudy-day,0.83,0.86,2.76,5.42,37.705,40.55,3,7
831,2018,2,22,53,4,Winter,False,partly-cloudy-day,partly-cloudy-night,0.73,0.83,4.45,2.76,34.49,37.705,7,6
831,2018,2,23,54,5,Winter,False,partly-cloudy-day,partly-cloudy-day,0.74,0.73,4.08,4.45,31.855,34.49,6,1
831,2018,2,24,55,6,Winter,False,partly-cloudy-night,partly-cloudy-day,0.69,0.74,5.02,4.08,32.025,31.855,1,2
831,2018,2,25,56,7,Winter,False,partly-cloudy-night,partly-cloudy-night,0.64,0.69,5.28,5.02,29.55,32.025,2,7
831,2018,2,26,57,1,Winter,False,partly-cloudy-day,partly-cloudy-night,0.67,0.64,5.76,5.28,25.055,29.55,7,1
831,2018,2,27,58,2,Winter,False,partly-cloudy-night,partly-cloudy-day,0.77,0.67,2.97,5.76,26.045,25.055,1,2
831,2018,2,28,59,3,Winter,False,partly-cloudy-night,partly-cloudy-night,0.77,0.77,4.77,2.97,19.145,26.045,2,1
831,2018,3,2,61,5,Spring,False,fog,partly-cloudy-day,0.84,0.78,7.52,8.19,24.89,22.505000000000003,1,2
831,2018,3,4,63,7,Spring,False,fog,fog,0.91,0.92,2.74,4.6,42.45,33.6,2,3
831,2018,3,5,64,1,Spring,False,partly-cloudy-day,fog,0.87,0.91,3.46,2.74,43.91,42.45,3,4
831,2018,3,6,65,2,Spring,False,partly-cloudy-day,partly-cloudy-day,0.81,0.87,2.66,3.46,44.385000000000005,43.91,4,4
831,2018,3,8,67,4,Spring,False,rain,partly-cloudy-day,0.74,0.82,5.59,2.46,40.754999999999995,42.46,4,5
831,2018,3,9,68,5,Spring,False,rain,rain,0.88,0.74,2.22,5.59,46.635000000000005,40.754999999999995,5,3
831,2018,3,10,69,6,Spring,False,partly-cloudy-day,rain,0.89,0.88,4.29,2.22,49.95,46.635000000000005,3,4
831,2018,3,11,70,7,Spring,False,fog,partly-cloudy-day,0.91,0.89,2.3,4.29,49.015,49.95,4,4
831,2018,3,12,71,1,Spring,False,partly-cloudy-day,fog,0.91,0.91,1.75,2.3,45.09,49.015,4,4
831,2018,3,13,72,2,Spring,False,partly-cloudy-day,partly-cloudy-day,0.81,0.91,2.09,1.75,44.395,45.09,4,5
831,2018,3,14,73,3,Spring,False,partly-cloudy-night,partly-cloudy-day,0.75,0.81,5.38,2.09,49.09,44.395,5,6
831,2018,3,15,74,4,Spring,False,rain,partly-cloudy-night,0.86,0.75,3.83,5.38,49.245000000000005,49.09,6,7
831,2018,3,16,75,5,Spring,False,partly-cloudy-day,rain,0.79,0.86,2.55,3.83,40.75,49.245000000000005,7,1
831,2018,3,17,76,6,Spring,False,partly-cloudy-day,partly-cloudy-day,0.86,0.79,7.75,2.55,24.245,40.75,1,1
831,2018,3,18,77,7,Spring,False,partly-cloudy-day,partly-cloudy-day,0.81,0.86,7.64,7.75,25.59,24.245,1,5
831,2018,3,20,79,2,Spring,False,partly-cloudy-day,partly-cloudy-day,0.71,0.67,4.64,7.07,37.66,29.725,5,5
831,2018,3,21,80,3,Spring,False,partly-cloudy-night,partly-cloudy-day,0.69,0.71,2.88,4.64,45.085,37.66,5,3
831,2018,3,22,81,4,Spring,False,partly-cloudy-day,partly-cloudy-night,0.73,0.69,4.43,2.88,45.085,45.085,3,10
831,2018,3,23,82,5,Spring,False,partly-cloudy-day,partly-cloudy-day,0.73,0.73,5.29,4.43,48.620000000000005,45.085,10,3
831,2018,3,24,83,6,Spring,False,partly-cloudy-day,partly-cloudy-day,0.88,0.73,1.43,5.29,46.515,48.620000000000005,3,9
831,2018,3,25,84,7,Spring,False,partly-cloudy-day,partly-cloudy-day,0.79,0.88,1.5,1.43,46.66,46.515,9,5
831,2018,3,26,85,1,Spring,False,partly-cloudy-day,partly-cloudy-day,0.64,0.79,2.71,1.5,45.989999999999995,46.66,5,3
831,2018,3,27,86,2,Spring,False,rain,partly-cloudy-day,0.8,0.64,2.41,2.71,50.065,45.989999999999995,3,1
831,2018,3,28,87,3,Spring,False,rain,rain,0.86,0.8,1.9,2.41,39.425,50.065,1,4
