,name,id,lat,lon,capacity,closest_district
130,"Derry Street, Kensington",133,51.50136494,-0.19146238100000001,18,Kensington and Chelsea
131,"Wapping High Street, Wapping",134,51.504903999999996,-0.06797,20,City of London
132,"Clerkenwell Green, Clerkenwell",135,51.52326004,-0.104708922,21,City of London
133,"Queen Victoria Street, St. Paul's",136,51.51196176,-0.097441687,32,City of London
134,"Green Street, Mayfair",138,51.51227622,-0.15743697199999998,19,Westminster
135,"Lambeth Road, Vauxhall",139,51.49488108,-0.117974901,18,Lambeth
136,"Finsbury Square , Moorgate",140,51.52096262,-0.085634242,33,City of London
137,"Chapel Place, Marylebone",141,51.51530805,-0.147203711,29,Westminster
138,"West Cromwell Road, Earl's Court",142,51.49372451,-0.198286569,24,Kensington and Chelsea
139,"Pont Street, Knightsbridge",143,51.4968865,-0.16120382800000002,24,Westminster
140,"Kennington Cross, Kennington",144,51.48894022,-0.11143579599999999,47,Lambeth
141,"Ilchester Place, Kensington",145,51.50074359,-0.202759212,24,Kensington and Chelsea
142,"Vauxhall Bridge , Pimlico",146,51.48836528,-0.129361842,35,Westminster
143,"Tachbrook Street, Victoria",148,51.49211134,-0.13836484699999999,16,Westminster
144,"Kennington Road Post Office, Oval",149,51.48478899,-0.110683213,18,Lambeth
145,"Holy Trinity Brompton, Knightsbridge",150,51.49705603,-0.168917077,28,Kensington and Chelsea
146,"Chepstow Villas, Notting Hill",151,51.51213691,-0.201554966,26,Kensington and Chelsea
147,"Hampton Street, Walworth",152,51.49217002,-0.101536865,21,Southwark
148,"Waterloo Station 3, Waterloo",154,51.50379168,-0.11282408,35,Lambeth
149,"Lexham Gardens, Kensington",155,51.49586666,-0.191933711,19,Kensington and Chelsea
150,"New Kent Road, The Borough",156,51.49443626,-0.092921165,33,Southwark
151,"Wright's Lane, Kensington",157,51.50039792,-0.193068385,37,Kensington and Chelsea
152,"Trebovir Road, Earl's Court",158,51.49085368,-0.196170309,18,Kensington and Chelsea
153,"Great Marlborough Street, Soho",159,51.51461995,-0.137841333,39,Westminster
154,"Waterloo Place, St. James's",160,51.50663341,-0.131773845,20,Westminster
155,"Guildhouse Street, Victoria",161,51.49234577,-0.14133448699999998,16,Westminster
156,"Southampton Place, Holborn",162,51.51760685,-0.12132840800000001,20,Lambeth
157,"Sloane Avenue, Knightsbridge",163,51.4931848,-0.167894973,27,Westminster
158,"Cleveland Gardens, Bayswater",164,51.515607,-0.183118788,16,Kensington and Chelsea
159,"Orsett Terrace, Bayswater",165,51.517932,-0.18371695899999999,15,Kensington and Chelsea
160,"Seville Street, Knightsbridge",166,51.50185512,-0.159237081,27,Westminster
161,"Eccleston Place, Victoria",167,51.49395092,-0.147624377,19,Westminster
162,"Argyll Road, Kensington",168,51.50040123,-0.195455928,19,Kensington and Chelsea
163,"Porchester Place, Paddington",169,51.51474612,-0.16516428800000002,18,Westminster
164,"Hardwick Street, Clerkenwell",170,51.52784273,-0.108068155,30,Islington
165,"Collingham Gardens, Earl's Court",171,51.4916156,-0.186753859,14,Kensington and Chelsea
166,"Sumner Place, South Kensington",172,51.49121192,-0.17371591100000003,19,Kensington and Chelsea
167,"Waterloo Road, South Bank",173,51.50486,-0.113001,15,Lambeth
168,"Strand, Strand",174,51.512529,-0.11516300000000002,36,Lambeth
169,"Gloucester Terrace, Bayswater",176,51.51791921,-0.188098863,23,Kensington and Chelsea
170,"Ashley Place, Victoria",177,51.49616092,-0.140947636,25,Westminster
171,"Warwick Square, Pimlico",178,51.48985626,-0.141923621,19,Westminster
172,"North Audley Street, Mayfair",180,51.5129118,-0.153645496,17,Westminster
173,"Belgrave Square, Belgravia",181,51.49941247,-0.152317537,21,Westminster
174,"Bell Street , Marylebone",182,51.52202903,-0.165842551,18,Camden
175,"Riverlight North, Nine Elms",183,51.482362,-0.13612398,24,Westminster
176,"Portland Place, Marylebone",184,51.52071513,-0.14521173,34,Camden
177,"Alderney Street, Pimlico",185,51.48805753,-0.140741432,14,Westminster
178,"South Wharf Road, Paddington",186,51.51733558,-0.175810943,16,Kensington and Chelsea
179,"Queen's Gate (South), South Kensington",187,51.49247977,-0.17843300399999998,24,Kensington and Chelsea
180,"Nutford Place, Marylebone",188,51.516517900000004,-0.164393768,18,Westminster
181,"Claremont Square, Angel",189,51.53166681,-0.109914711,18,Islington
182,"Rampayne Street, Pimlico",190,51.48997562,-0.132845681,21,Westminster
183,"Hyde Park Corner, Hyde Park",191,51.50311799,-0.153520935,28,Westminster
