dates,postcode,street,title,Year,Month,Days,Duration
26th - 29th March 2015,E2 6DG,London,"
The Robin Collective: The Cherry Rooms ",2015,3,26,4
27th March - 13th September 2015,SW7 5BD,Cromwell Road,"
Coral Reefs: Secret Cities of the Sea ",2015,3,27,171
27th March - 14th April 2015,WC2E 9DD,Bow Street,"
The Royal Ballet: The Four Temperaments | Hofesh Shechter | Song of the Earth ",2015,3,27,19
27th March 2015,NW1 8EH,Chalk Farm Road,"
Nick Mulvey ",2015,3,27,1
28th March 2015,SE10 0BB,Peninsula Square,"
Nicki Minaj: The PinkPrint Tour ",2015,3,28,1
28th March - 31st August 2015,SE10 9NF,Park Row,"
Against Captain's Orders: A Journey Into The Uncharted ",2015,3,28,157
28th March - 28th November 2015,WC2R 0ET,"Savoy Court, Strand","
Gypsy ",2015,11,28th March - 28t,
28th March - 25th May 2015,EC2M 2QS,Broadgate,"
Shaun in the City ",2015,5,28rc,
30th March - 12th April 2015,WC2N 4ES,St Martin's Lane,"
Sweeney Todd: The Demon Barber of Fleet Street, A Musical Thriller ",2015,4,30,
01st April - 31st October 2015,SW3 4HS,66 Royal Hospital Garden,"
World Woodland Garden ",2015,10,01st April - 31s,
01st April - 09th May 2015,N4 3JP,11 Clifton Terrace,"
Dead Sheep ",2015,5,01ri,
01st April - 19th July 2015,SW7 2RL,Cromwell Road,"
All Of This Belongs To You ",2015,7,01ri,
01st April 2015,E1 8JB,"Graces Alley, Off Ensign Street","
Saint Saviour ",2015,4,1,
01st April - 13th September 2015,WC2N 5DN,Trafalgar Square,"
Frames in Focus: Sansovino Frames ",2015,9,01st April - 13t,
01st April - 31st August 2015,SE21 7AD,"Gallery Road, Dulwich Village","
Ravilious ",2015,8,01st April - 31s,
02nd April - 25th September 2016,SE1 6HZ,"Lambeth Road, Elephant and Castle","
Visions of War Above and Below ",2016,9,02nd April - 25t,
29th March - 07th April 2018,WC2A 2HT,Portugal Street,"
English National Ballet: My First Ballet: Swan Lake ",2018,4,29,
02nd April 2015,W12 8TT,Shepherd's Bush Green,"
The Subways ",2015,4,2,
24th - 27th March 2016,NW1 7PG,5 Parkway,"
The London International Ska Festival ",2016,3,2427,
29th March - 16th September 2018,SW7 5BD,Cromwell Road,"
Sensational Butterflies ",2018,9,29th March - 16t,
03rd April 2015,E20 3EL,Queen Elizabeth Olympic Park,"
Good Friday Meeting ",2015,4,3,
04th - 05th April 2015,SE10 0BB,Peninsula Square,"
McBusted ",2015,4,405,
04th - 11th April 2015,WC2E 9DD,"Bow Street, Covent Garden","
Opera North: Swanhunter (Over 7s) ",2015,4,411,
04th April 2015,NW1 7JE,1A Camden High Street,"
Buttoned Down Disco's Easter Party at KOKO ",2015,4,4,
06th April 2015,NW1 4NR,Inner Circle,"
London Easter 10K ",2015,4,6,
07th April - 31st May 2015,SW1W 8AS,Sloane Square,"
Roald Dahl's The Twits ",2015,5,07ri,
08th - 09th April 2015,W12 8TT,Shepherd's Bush Green,"
James Bay ",2015,4,809,
09th April - 30th August 2015,SE1 7NN,10 Leake Street,"
Alice's Adventures Underground ",2015,8,09th April - 30t,
07th April - 17th July 2016,SE1 8XX,Belvedere Road,"
Udderbelly Festival ",2016,7,07ri,
06th - 07th April 2018,SW1P 2PE,80 Vincent Square,"
RHS London Orchid Show ",2018,4,607,
10th April - 23rd May 2015,N1 1TA,Almeida Street,"
Carmen Disruption ",2015,5,10ri,
11th June - 04th September 2016,W6 0QA,"Lyric Square, 2 King Street","
Bugsy Malone ",2016,9,11th June - 04th,
11th - 25th April 2015,EC2Y 8DS,Silk Street,"
English National Opera: Between Worlds ",2015,4,1125,
27th March 2016,SW6 3JD,Between Fulham and Putney,"
The BNY Mellon Boat Race: Oxford vs Cambridge ",2016,3,27,
07th April 2019,E1 5AR,Buxton Street,"
Oxford vs Cambridge Goat Race ",2019,4,7,
14th April - 03rd May 2015,NW1 8EH,Chalk Farm Road,"
Circolombia ",2015,5,14ri,
14th - 18th April 2015,WC2N 4ES,St Martin's Lane,"
Diana Vishneva: On The Edge ",2015,4,1418,
14th April 2015,EC2Y 8DS,Silk Street,"
Joyce DiDonato: Into The Fire ",2015,4,14,
14th - 15th April 2015,SW1P 2PE,80 Vincent Square,"
RHS Great London Plant Fair ",2015,4,1415,
14th April - 09th May 2015,SW1Y 6LT,16B Jermyn Street,"
A Level Playing Field ",2015,5,14ri,
14th April - 09th May 2015,N1 1QN,115 Upper Street,"
Mrs Roosevelt Flies to London ",2015,5,14ri,
14th April - 23rd May 2015,SE1 8LZ,66 The Cut,"
Ah, Wilderness! ",2015,5,14ri,
15th - 25th April 2015,EC2Y 8DS,Silk Street,"
Measure For Measure ",2015,4,1525,
15th April - 09th August 2015,SE1 9TG,"Bankside Power Station, 25 Sumner Street","
Sonia Delaunay ",2015,8,15th April - 09t,
15th April 2015,E8 1EJ,291 Mare Street,"
Caitlin Moran ",2015,4,15,
15th April 2015,SE10 0BB,Peninsula Square,"
Sting & Paul Simon: On Stage Together ",2015,4,15,
15th April - 22nd May 2015,SW1A 2DY,14 Whitehall,"
Golem ",2015,5,15ri,
16th - 18th April 2015,N22 7AY,"Alexandra Palace Way, Wood Green","
Ben Howard ",2015,4,1618,
16th April - 05th May 2015,WC2E 9DD,Bow Street,"
The Royal Ballet: La Fille Mal Gardee ",2015,5,16ri,
16th April - 27th June 2015,WC2H 0DA,Charing Cross Road,"
American Buffalo ",2015,6,16ri,
16th - 19th April 2015,SW3 5EE,Kings Road,"
Chelsea Art Fair ",2015,4,1619,
16th April 2015,SE1 7LB,Lambeth Palace Road,"
Wild Gardens ",2015,4,16,
8th March to 2nd June 2019,W1F 7LW,16-18 Ramillies Street,"
Deutsche Borse Photography Prize ",2019,6,8t,
08th - 10th April 2016,N1C 4AA,"Granary Building, 1 Granary Square","
Ceramic Art London ",2016,4,810,
17th April 2015,WC1H 0AH,15 Gordon Street,"
Stand Up For SIDS ",2015,4,17,
17th April - 15th May 2015,WC2N 4BD ,112 St Martin's Lane ,"
Edible Stories, a Culinary Adventure ",2015,5,17ri,
