,Actual,Day,Predicted
0,396,1213,391.56465129324783
1,381,1214,362.91317989730186
2,409,1215,382.4091616328313
3,366,1216,327.8995040597402
4,81,1217,91.69510253640398
5,112,1218,80.14756235447467
6,396,1219,374.6685201100889
7,388,1220,374.00413090066627
8,372,1221,297.69731470616546
9,286,1222,301.62652875536236
10,272,1223,292.5108527608003
11,72,1224,79.86060142555228
12,87,1225,71.08432391337493
13,86,1226,262.95275398562643
14,299,1227,286.40415668900005
15,330,1228,313.77762424977766
16,356,1229,291.79061049857535
17,279,1230,308.3540497209758
18,88,1231,82.51475251332494
19,94,1232,100.3133905209323
20,360,1233,298.7119479558017
21,346,1234,340.43659709131566
22,357,1235,405.5257356113426
23,389,1236,353.62660011231037
24,317,1237,335.6958500973286
25,90,1238,76.17505173607887
26,90,1239,78.54649111466422
27,379,1240,364.63476668627436
28,374,1241,349.64573270003694
29,374,1242,406.9859461908907
30,382,1243,353.07235724769316
31,324,1244,358.62529528976074
32,79,1245,119.34342770476319
33,101,1246,80.711505463334
34,406,1247,353.2428939853492
35,388,1248,384.39957252007963
36,392,1249,361.9516711700927
37,374,1250,391.5199826526576
38,359,1251,364.73933172741897
39,92,1252,101.13433806147071
40,89,1253,96.18093125017423
41,360,1254,406.1324599515218
42,387,1255,403.9720507764797
43,377,1256,397.27878260891873
44,394,1257,363.0419269165001
45,320,1258,338.01551382035257
46,80,1259,90.36532582270424
47,102,1260,99.12596329004731
48,383,1261,373.88411239473254
49,374,1262,402.3470869693047
50,391,1263,401.5427007496319
51,395,1264,394.7536959453946
52,343,1265,346.9985089423453
53,80,1266,100.92564940885957
54,108,1267,98.85255830445338
55,378,1268,398.67147536552596
56,398,1269,381.7568626772728
57,387,1270,396.52329634396165
58,394,1271,372.8144250414814
59,322,1272,342.6067550345608
60,91,1273,94.32629256534649
61,90,1274,100.07013547019903
62,361,1275,396.0382872120133
63,423,1276,386.61732916793835
64,394,1277,423.6383587241792
65,395,1278,374.48697255542635
66,319,1279,351.5848013418464
67,104,1280,95.74892768251588
68,103,1281,99.42181454930943
69,382,1282,354.80144451609766
70,360,1283,410.24766058384455
71,397,1284,401.2593864863658
72,377,1285,377.2489894423983
73,274,1286,338.42092473652906
74,91,1287,80.5937023115659
75,43,1288,68.16605216321923
76,358,1289,349.7996898112269
77,383,1290,370.2422452853691
78,355,1291,409.6899165633188
79,397,1292,373.7127653992779
80,315,1293,353.90180840695217
81,97,1294,95.26619250453342
82,102,1295,91.34723904180187
83,340,1296,373.6628585739536
84,353,1297,368.06170041191035
85,325,1298,326.4402112976629
86,235,1299,297.41931059558397
87,274,1300,314.5593549425507
88,68,1301,82.22490855220397
89,57,1302,74.43808175287974
90,331,1303,321.572577008724
91,344,1304,393.36804083294726
92,389,1305,324.6879333841432
93,258,1306,330.8025818984629
94,312,1307,339.4618539130523
95,70,1308,82.95832500332524
96,96,1309,82.59960510569871
97,354,1310,335.2142530378691
98,352,1311,350.8020403971554
99,339,1312,314.2447320680962
100,288,1313,326.47613185697566
101,242,1314,306.55737438157973
102,70,1315,65.73297355630805
103,18,1316,47.89904132332717
104,64,1317,326.34248397522714
105,326,1318,317.68691058555913
106,176,1319,339.08934793668345
107,335,1320,356.55052943940564
108,262,1321,328.2957623667602
109,83,1322,89.74784824115024
110,96,1323,97.01390698564038
111,379,1324,364.84504953927484
112,340,1325,373.9748032806732
113,389,1326,366.76784469589086
114,346,1327,344.18133530058293
115,287,1328,345.21603285449584
116,87,1329,73.63659558330076
117,74,1330,78.71865689024375
118,321,1331,378.4751908838577
119,371,1332,306.9246515107304
120,328,1333,366.338605400357
121,388,1334,408.61604219226723
122,317,1335,333.14339949337557
123,94,1336,76.06553932562068
124,94,1337,94.14481133127589
125,397,1338,378.6871586436057
126,400,1339,364.1488983746169
127,370,1340,356.8424531488572
128,349,1341,322.53105725216847
129,285,1342,311.0085687989677
130,46,1343,49.10002393391014
131,40,1344,58.42201738167515
132,373,1345,389.9707309832273
133,383,1346,401.0642435612634
134,443,1347,427.20686446536286
135,376,1348,429.6440202335923
136,372,1349,312.0821555307098
137,63,1350,76.81417165645627
138,99,1351,72.65960442932828
139,387,1352,406.6182105312551
140,404,1353,389.0303596055893
141,398,1354,372.7538138414391
142,369,1355,326.800823494473
143,345,1356,292.3286180585662
144,29,1357,44.466338010642374
145,72,1358,73.03678913057001
146,391,1359,367.9555790671068
147,390,1360,377.9021182664112
148,353,1361,386.30659892520276
149,389,1362,368.954884166124
150,348,1363,335.30473202243235
151,83,1364,79.28985468264396
152,40,1365,52.200867138669906
153,301,1366,313.3988025052579
154,386,1367,319.01044462712
155,333,1368,351.82730032039683
156,364,1369,362.27528236203943
157,325,1370,345.7895761724352
158,95,1371,71.02532500193192
159,77,1372,65.97835303805049
160,332,1373,354.70685087682534
161,347,1374,397.7232816222299
162,389,1375,337.2885044073424
163,345,1376,316.54635767744844
164,237,1377,244.12010765395883
165,49,1378,36.30061207587836
166,46,1379,40.87436832138002
167,360,1380,289.84026948957853
168,339,1381,230.2842393485605
169,283,1382,354.8541756021616
170,373,1383,341.7418541167124
171,284,1384,259.63424035764837
172,42,1385,47.06113640898646
173,60,1386,58.70366765360035
174,356,1387,326.3547813907913
175,369,1388,387.84181681602405
176,383,1389,376.86643431285336
177,400,1390,294.4535765825749
178,296,1391,267.706927316496
179,76,1392,38.469788016923815
180,39,1393,47.92260999859086
181,277,1394,187.062069672993
182,282,1395,303.3775687441026
183,325,1396,274.6029264397167
184,288,1397,325.21985009026093
185,275,1398,152.83618890943416
186,45,1399,36.22725192142835
187,55,1400,43.48760149233408
188,342,1401,211.99534156692852
189,300,1402,252.32181573319315
190,265,1403,299.9229851971735
191,266,1404,309.65694453283464
192,258,1405,267.7308657570587
193,58,1406,43.54051043198663
194,66,1407,55.7991425415879
195,309,1408,245.5571144452695
196,331,1409,266.39932972713257
197,277,1410,199.433274988251
198,236,1411,257.0709698208674
199,134,1412,203.7376891735226
200,58,1413,49.81422571893762
201,59,1414,54.90816190492633
202,348,1415,303.91147055813485
203,344,1416,319.946882796306
204,318,1417,247.4174342646638
205,312,1418,263.77660977408743
206,252,1419,204.52014893096165
207,32,1420,26.062864415329926
208,28,1421,36.50071819956338
209,307,1422,89.56371431715418
210,272,1423,158.82753461236373
211,245,1424,216.33500970643897
212,249,1425,245.1819351244058
213,170,1426,193.6491246620721
214,49,1427,43.077732740105134
215,24,1428,30.474314805288408
216,44,1429,109.1657639731153
217,116,1430,60.300852707047724
218,36,1431,115.52254867231625
219,62,1432,234.09737007227668
220,57,1433,158.81354782365236
221,36,1434,36.04835501656328
222,35,1435,32.23734904755145
223,63,1436,58.219913188216736
224,43,1437,279.0087010555519
225,226,1438,304.7852536627513
226,257,1439,338.6858212576843
227,226,1440,277.93469759281874
228,41,1441,66.01542567808048
229,39,1442,43.070837855434405
230,333,1443,310.83290934062114
231,344,1444,369.66747372255554
232,349,1445,321.2471766328024
233,317,1446,302.7521549828192
234,262,1447,218.67626255502387
235,45,1448,37.928622100743084
236,33,1449,51.177079367918836
237,315,1450,320.26067872728527
238,341,1451,290.84485080911554
239,263,1452,269.04282336710423
240,257,1453,295.65628339606747
241,250,1454,225.59307964143593
242,44,1455,36.51066381228552
243,51,1456,35.79790803952885
244,303,1457,268.0528363394518
245,333,1458,209.63001932984497
246,272,1459,242.0676954181899
247,279,1460,301.1205567823929
248,206,1461,184.5748086070465
249,36,1462,30.20810027840731
250,30,1463,34.748006598883876
251,306,1464,287.08892555128847
252,309,1465,289.7385435907843
253,298,1466,264.96170276534656
254,255,1467,261.5626708315884
255,134,1468,127.77897019742304
256,34,1469,24.716511396382483
257,46,1470,35.231360817769996
258,205,1471,202.18348243666173
259,297,1472,245.6831441025977
260,287,1473,326.64744305452047
261,339,1474,322.4953797018254
262,200,1475,261.56916531367017
263,45,1476,43.314639166643914
264,37,1477,32.78207147059768
265,320,1478,304.1849796975687
266,332,1479,332.3967908238625
267,343,1480,315.5447758248599
268,310,1481,349.7682279400593
269,268,1482,283.83179447665634
270,56,1483,34.623632102661375
271,62,1484,46.209432215715665
272,291,1485,228.29921083154252
273,321,1486,307.69985688860487
274,312,1487,322.602313288614
275,298,1488,299.95965637465093
276,233,1489,271.91211760976955
