,Actual,Day,Predicted
1212,396,2,376.8975778608662
1213,381,3,376.9247868961537
1214,409,4,372.5614965933599
1215,366,5,313.9604228323444
1216,81,6,90.52002402949505
1217,112,7,96.0
1218,396,1,359.0201863028489
1219,388,2,360.01062913432435
1220,372,3,329.5630301383542
1221,286,4,339.0
1222,272,5,309.0
1223,72,6,83.0
1224,87,7,61.66888443281506
1225,86,1,309.399206517723
1226,299,2,323.324155872294
1227,330,3,362.439566983088
1228,356,4,344.0
1229,279,5,315.9270966954109
1230,88,6,89.42174835393233
1231,94,7,90.93291671780555
1232,360,1,321.0
1233,346,2,345.07661470978223
1234,357,3,382.01420757252174
1235,389,4,353.0
1236,317,5,319.71236329492143
1237,90,6,81.72500661327773
1238,90,7,87.48032038903592
1239,379,1,348.6934923171101
1240,374,2,346.0
1241,374,3,382.02880794552016
1242,382,4,359.51675889619014
1243,324,5,315.0
1244,79,6,83.6735416132684
1245,101,7,90.0
1246,406,1,366.5304929729151
1247,388,2,360.0
1248,392,3,360.3058795719759
1249,374,4,357.181373184045
1250,359,5,323.20132685661645
1251,92,6,82.91975346200844
1252,89,7,92.72559940554139
1253,360,1,368.9209493787843
1254,387,2,372.0
1255,377,3,387.3332119512218
1256,394,4,360.0
1257,320,5,321.15523878516245
1258,80,6,90.01886001853872
1259,102,7,98.40267177217335
1260,383,1,346.87557342992994
1261,374,2,369.37428072254517
1262,391,3,388.0
1263,395,4,379.03613295979636
1264,343,5,333.0
1265,80,6,96.0
1266,108,7,172.9046514148042
1267,378,1,360.30900844856546
1268,398,2,360.8447817588191
1269,387,3,382.06865264247176
1270,394,4,370.5954571180201
1271,322,5,327.7121966571498
1272,91,6,87.74338629456356
1273,90,7,102.1255459497485
1274,361,1,372.03194626570723
1275,423,2,374.0
1276,394,3,379.0
1277,395,4,382.01912972659863
1278,319,5,339.0164116382628
1279,104,6,94.0
1280,103,7,106.27424285413588
1281,382,1,345.90649877036327
1282,360,2,376.93706142004186
1283,397,3,383.0
1284,377,4,360.0
1285,274,5,338.9911073039976
1286,91,6,56.954683889650845
1287,43,7,85.91823906703966
1288,358,1,345.78033643129
1289,383,2,344.0
1290,355,3,387.1429020667427
1291,397,4,371.3835064054532
1292,315,5,339.35843376618504
1293,97,6,94.0
1294,102,7,95.84679251771368
1295,340,1,344.0
1296,353,2,344.9250928663426
1297,325,3,321.4789211900905
1298,235,4,327.2679954258028
1299,274,5,298.3363036416333
1300,68,6,63.05437999015227
1301,57,7,91.16595340585116
1302,331,1,328.62101173311555
1303,344,2,377.0030884700142
1304,389,3,328.50736685338217
1305,258,4,339.0
1306,312,5,312.0
1307,70,6,89.52629235870326
1308,96,7,91.00481449179371
1309,354,1,333.0
1310,352,2,342.4042680133292
1311,339,3,340.4145260180893
1312,288,4,322.5866996612953
1313,242,5,298.0
1314,70,6,43.126908311136816
1315,18,7,55.42305921110034
1316,64,1,322.0672015135707
1317,326,2,290.4739695290745
1318,176,3,347.5339656466308
1319,335,4,338.9159719217642
1320,262,5,320.08170910250476
1321,83,6,88.90062168541586
1322,96,7,91.763765498225
1323,379,1,339.0
1324,340,2,374.0
1325,389,3,354.03962153716003
1326,346,4,339.6444387447981
1327,287,5,313.92668047846865
1328,87,6,71.03234802660317
1329,74,7,83.0
1330,321,1,343.0
1331,371,2,333.0
1332,328,3,356.0
1333,388,4,353.0
1334,317,5,321.05849372976064
1335,94,6,84.24861528133766
1336,94,7,94.0
1337,397,1,368.9992008325684
1338,400,2,352.15595138890313
1339,370,3,353.0
1340,349,4,330.0777708716163
1341,285,5,282.7149211429335
1342,46,6,46.0
1343,40,7,67.87373336802078
1344,373,1,347.24993590341336
1345,383,2,386.23812933835933
1346,443,3,379.0
1347,376,4,387.0
1348,372,5,301.22221672090143
1349,63,6,82.7021352659681
1350,99,7,83.67076030511578
1351,387,1,370.0
1352,404,2,383.4829266944854
1353,398,3,357.5041408567452
1354,369,4,360.48340144606556
1355,345,5,272.0
1356,29,6,64.0573123331444
1357,72,7,62.09489843083778
1358,391,1,361.7707279211413
1359,390,2,352.88510278411167
1360,353,3,389.0
1361,389,4,360.0187532075975
1362,348,5,317.0
1363,83,6,52.07418287700123
1364,40,7,59.1314968804355
1365,301,1,353.5043566675523
1366,386,2,341.00795219109955
1367,333,3,353.0
1368,364,4,345.0
1369,325,5,311.3777882848197
1370,95,6,63.28135458517028
1371,77,7,77.6949632573488
1372,332,1,320.77882347704525
1373,347,2,383.0
1374,389,3,348.0
1375,345,4,321.4325289601406
1376,237,5,260.76066074051755
1377,49,6,45.05760775724296
1378,46,7,55.12932047870246
1379,360,1,299.94775737935424
1380,339,2,287.0
1381,283,3,348.0
1382,373,4,327.75014256160404
1383,284,5,276.61747525054227
1384,42,6,62.96216087114487
1385,60,7,60.09966165285882
1386,356,1,335.5442332448205
1387,369,2,360.87974950800384
1388,383,3,381.7616384869997
1389,400,4,340.0
1390,296,5,279.0
1391,76,6,45.0
1392,39,7,43.00089898053672
1393,277,1,257.0
1394,282,2,317.1063480866584
1395,325,3,315.14470659979395
1396,288,4,317.0
1397,275,5,258.0
1398,45,6,56.99538153676322
1399,55,7,45.0
1400,342,1,277.0
1401,300,2,297.0
1402,265,3,325.0
1403,266,4,317.0
1404,258,5,273.930868288593
1405,58,6,58.823130612033914
1406,66,7,57.21838070800888
1407,309,1,293.1998677671021
1408,331,2,288.0
1409,277,3,322.4030054546478
1410,236,4,320.51011837312814
1411,134,5,272.40724130376475
1412,58,6,62.0
1413,59,7,49.125839416536664
1414,348,1,312.0
1415,344,2,320.0063162669757
1416,318,3,320.0
1417,312,4,304.6823546660111
1418,252,5,223.39076986130698
1419,32,6,28.994961038465032
1420,28,7,42.37174529677523
1421,307,1,279.0
1422,272,2,277.9331447651481
1423,245,3,291.1871632611769
1424,249,4,316.1819540405152
1425,170,5,279.0
1426,49,6,41.0
1427,24,7,39.71117388181007
1428,44,1,87.41664892185726
1429,116,2,64.94819258204511
1430,36,3,110.47404550270741
1431,62,4,256.7352768281996
1432,57,5,249.9485270180247
1433,36,6,40.336509621248005
1434,35,7,39.0
1435,63,1,46.854149599437086
1436,43,2,265.90831361507344
1437,226,3,288.8259991440389
1438,257,4,299.34299809953063
1439,226,5,245.34488722640057
1440,41,6,36.0
1441,39,7,52.41446796251766
1442,333,1,320.91396217849893
1443,344,2,331.0633657408645
1444,349,3,324.8771431207381
1445,317,4,315.59814337242994
1446,262,5,257.45556111665013
1447,45,6,39.98426000448406
1448,33,7,50.2340685869873
1449,315,1,302.5922822522228
1450,341,2,288.18548954067046
1451,263,3,289.2068594857813
1452,257,4,298.88521913833233
1453,250,5,257.0
1454,44,6,43.43326214117783
1455,51,7,40.25501139845003
1456,303,1,304.2384545373874
1457,333,2,275.1573285935619
1458,272,3,305.4127354273685
