,Actual,Day,Predicted
1212,396,1213,372.23781710832066
1213,381,1214,367.81130456360853
1214,409,1215,403.31304574255313
1215,366,1216,301.6936930373956
1216,81,1217,84.22326136299955
1217,112,1218,70.08834387189712
1218,396,1219,339.69290872055757
1219,388,1220,339.46796308075045
1220,372,1221,274.5218698541162
1221,286,1222,328.8790249000017
1222,272,1223,313.36744814443887
1223,72,1224,85.66083745340637
1224,87,1225,54.638042546893935
1225,86,1226,289.8419201732098
1226,299,1227,260.1441083679665
1227,330,1228,305.38899686073404
1228,356,1229,307.0597315595516
1229,279,1230,311.3822934577627
1230,88,1231,84.13999167907471
1231,94,1232,92.2304324796498
1232,360,1233,298.19686061843305
1233,346,1234,312.8372364697276
1234,357,1235,369.02177793845556
1235,389,1236,373.5707339771106
1236,317,1237,353.6267589905185
1237,90,1238,89.48148464906856
1238,90,1239,74.97524172486807
1239,379,1240,340.01113987063206
1240,374,1241,328.5971116016914
1241,374,1242,388.84316001971246
1242,382,1243,359.0883534201892
1243,324,1244,370.7728206910684
1244,79,1245,91.78476815376176
1245,101,1246,76.82618754031965
1246,406,1247,302.79373219122135
1247,388,1248,332.54012062891326
1248,392,1249,328.1678973263108
1249,374,1250,417.07379619907755
1250,359,1251,367.8876120323704
1251,92,1252,107.16026325799572
1252,89,1253,84.09395587360561
1253,360,1254,375.75113998311826
1254,387,1255,380.25823266315535
1255,377,1256,381.5126521151189
1256,394,1257,379.041288235868
1257,320,1258,372.61476722926164
1258,80,1259,121.19140332358481
1259,102,1260,97.74394227197168
1260,383,1261,336.9544542699504
1261,374,1262,345.6028912758634
1262,391,1263,381.72335584294694
1263,395,1264,435.0076874904089
1264,343,1265,346.18125829996126
1265,80,1266,108.6104434314898
1266,108,1267,88.08071768966113
1267,378,1268,361.8641718195775
1268,398,1269,361.2815088781109
1269,387,1270,375.9437427880254
1270,394,1271,406.3274661841993
1271,322,1272,349.6934596346292
1272,91,1273,105.55909846484224
1273,90,1274,85.9532603502805
1274,361,1275,364.3665458278743
1275,423,1276,351.9153293278843
1276,394,1277,397.33076550278753
1277,395,1278,439.2291340759301
1278,319,1279,345.5704550750483
1279,104,1280,104.34925137033132
1280,103,1281,87.53523581080344
1281,382,1282,351.74647982533605
1282,360,1283,369.5231429922389
1283,397,1284,410.26399061185225
1284,377,1285,449.1184208811602
1285,274,1286,370.58191067013655
1286,91,1287,80.66111115246161
1287,43,1288,58.08329030699316
1288,358,1289,304.9751580533529
1289,383,1290,346.8093301548547
1290,355,1291,389.1990117757345
1291,397,1292,420.2899789443863
1292,315,1293,381.9371274376652
1293,97,1294,98.61711260476332
1294,102,1295,77.13849767277185
1295,340,1296,359.1854295647031
1296,353,1297,364.0083986068263
1297,325,1298,342.8506667939704
1298,235,1299,326.5006531043764
1299,274,1300,295.4762854671215
1300,68,1301,96.07818619047434
1301,57,1302,64.11944356555416
1302,331,1303,304.81846021966925
1303,344,1304,356.52476200650807
1304,389,1305,305.3220518048974
1305,258,1306,322.94947181776223
1306,312,1307,370.64672475540675
1307,70,1308,97.39561564762089
1308,96,1309,74.09129549094772
1309,354,1310,313.76928358637457
1310,352,1311,343.6141050252714
1311,339,1312,322.00299946201756
1312,288,1313,349.43342542600004
1313,242,1314,312.9835592666934
1314,70,1315,76.38530076337754
1315,18,1316,38.6709818619611
1316,64,1317,283.07417008491774
1317,326,1318,278.70609169952274
1318,176,1319,349.4998170347046
1319,335,1320,410.9868907776214
1320,262,1321,308.0571288316599
1321,83,1322,101.802652110347
1322,96,1323,86.94517480763102
1323,379,1324,342.39627225271454
1324,340,1325,353.1944804828491
1325,389,1326,358.8448582341981
1326,346,1327,369.94724087195584
1327,287,1328,339.68231993654643
1328,87,1329,95.54633614930881
1329,74,1330,69.95700064616614
1330,321,1331,317.6186013688225
1331,371,1332,251.53520331819627
1332,328,1333,337.1012515432576
1333,388,1334,410.25464247747544
1334,317,1335,333.57845558337834
1335,94,1336,103.86631600002256
1336,94,1337,90.69536390760591
1337,397,1338,337.4684226264605
1338,400,1339,307.21702128882856
1339,370,1340,274.16900176479277
1340,349,1341,220.1137503801424
1341,285,1342,243.85068138695914
1342,46,1343,84.39559580479695
1343,40,1344,61.247890636740834
1344,373,1345,340.3651148681968
1345,383,1346,379.11848692458915
1346,443,1347,394.7308572561432
1347,376,1348,424.8263278936789
1348,372,1349,314.1286157374059
1349,63,1350,100.03080401698877
1350,99,1351,67.74299048506191
1351,387,1352,339.2217265220085
1352,404,1353,324.4297113729813
1353,398,1354,343.5299731481565
1354,369,1355,295.8668542052433
1355,345,1356,265.8128933774068
1356,29,1357,23.496609325188043
