,Actual,Day,Predicted
1212,396,1213,382.22459297707474
1213,381,1214,419.79960508810456
1214,409,1215,453.5536831158543
1215,366,1216,338.029225825556
1216,81,1217,108.78908517490848
1217,112,1218,229.342293034201
1218,396,1219,355.7539695204026
1219,388,1220,373.15360407546115
1220,372,1221,346.489807186624
1221,286,1222,380.51264068784013
1222,272,1223,316.75127970250594
1223,72,1224,99.74964295009853
1224,87,1225,74.57969903658106
1225,86,1226,289.60818000409466
1226,299,1227,327.5821560915865
1227,330,1228,345.9071478884004
1228,356,1229,358.39951925940153
1229,279,1230,301.6345673824671
1230,88,1231,102.53552453869428
1231,94,1232,217.0294757750424
1232,360,1233,342.98762148321214
1233,346,1234,359.45121631600387
1234,357,1235,426.7923210680035
1235,389,1236,431.747988064429
1236,317,1237,339.32224512139317
1237,90,1238,96.21608841727881
1238,90,1239,223.95883958812732
1239,379,1240,361.03255420421766
1240,374,1241,365.61563504046256
1241,374,1242,432.7561791758256
1242,382,1243,413.83738887035054
1243,324,1244,367.89260610546205
1244,79,1245,119.48671217036903
1245,101,1246,262.7947749539186
1246,406,1247,352.9199555975897
1247,388,1248,366.62908728795315
1248,392,1249,413.15239887238283
1249,374,1250,483.5270743060211
1250,359,1251,370.20102863554575
1251,92,1252,141.50767093280723
1252,89,1253,231.41599822464147
1253,360,1254,696.247305716731
1254,387,1255,575.0840802227078
1255,377,1256,429.49533750383347
1256,394,1257,436.2497921266884
1257,320,1258,343.40443276125217
1258,80,1259,156.953824276816
1259,102,1260,303.4088776997631
1260,383,1261,538.6854864180929
1261,374,1262,450.84731241499435
1262,391,1263,435.6828437981324
1263,395,1264,484.9164465137005
1264,343,1265,375.90781946409487
1265,80,1266,150.17288250678146
1266,108,1267,296.69959374725755
1267,378,1268,651.7858085911558
1268,398,1269,432.1830446018555
1269,387,1270,434.0635015207053
1270,394,1271,458.10566972914324
1271,322,1272,358.085030192208
1272,91,1273,118.07029459659319
1273,90,1274,257.6388576616597
1274,361,1275,728.3131735505938
1275,423,1276,441.8555573696061
1276,394,1277,440.8793180967101
1277,395,1278,482.8972854832549
1278,319,1279,375.62687915859925
1279,104,1280,113.16506294754824
1280,103,1281,279.85070826927733
1281,382,1282,502.0452208814479
1282,360,1283,481.044280999959
1283,397,1284,441.87591855825616
1284,377,1285,460.56153670415114
1285,274,1286,366.3122679449655
1286,91,1287,89.76469254578255
1287,43,1288,161.777128436361
1288,358,1289,354.0214725920943
1289,383,1290,373.76792583374646
1290,355,1291,433.6253363994955
1291,397,1292,468.1354770694893
1292,315,1293,386.92126464957056
1293,97,1294,145.9749422735541
1294,102,1295,192.16406581011373
