Actual,Day,Predicted
281,1,277.107067606084
279,2,282.933456515035
274,3,276.998046659594
161,4,281.471160533292
270,5,310.686834033901
62,6,65.5383248344941
48,7,60.5615298428386
252,8,258.35699396326
311,9,282.217299435376
305,10,325.356719270287
264,11,306.05366922698
306,12,296.982701484948
57,13,59.5337544837979
42,14,52.6249880852708
295,15,280.080575982526
295,16,313.031957312643
290,17,285.479038012593
270,18,316.26752057885
270,19,285.435599798484
80,20,63.1307706734974
71,21,61.3134284194686
269,22,243.404035178461
294,23,295.981826025624
279,24,310.015953156935
296,25,317.644127902087
274,26,264.793213806103
33,27,42.3275860280292
43,28,54.4594931792378
277,29,280.766753044663
255,30,266.126794959429
288,31,267.3400047448
248,32,299.910959286706
249,33,242.145578100009
50,34,48.8909932263029
64,35,64.3867103577149
297,36,284.540251447439
308,37,302.775391686332
289,38,323.941756310636
292,39,328.311300900315
229,40,251.826270967247
52,41,60.8576994084909
60,42,55.7011256549078
262,43,254.028942208321
279,44,324.298094553161
290,45,319.380632063255
239,46,271.135403975482
220,47,264.106426038714
53,48,62.387419517194
40,49,42.5682758624448
290,50,230.627088596176
290,51,286.691755019273
254,52,316.019803332598
306,53,289.838632211043
281,54,313.950892094446
63,55,51.2990333802921
76,56,59.8427189202408
286,57,271.716319222057
302,58,286.863543332949
305,59,303.626722154863
298,60,324.36143262624
303,61,306.120975752838
87,62,78.0182467735779
70,63,60.8220462909467
312,64,241.963506817219
307,65,333.398933895099
311,66,330.536801780552
349,67,345.421272123451
307,68,288.703432330224
65,69,65.6423520835621
58,70,43.6059422625176
247,71,250.615767726147
327,72,266.985048508068
308,73,286.066174148457
305,74,301.43523816691
313,75,281.324993075401
54,76,67.3933986813784
71,77,67.0664755143321
279,78,295.564782887231
314,79,293.102119742659
313,80,292.949686027232
221,81,304.117695940032
301,82,308.989213678114
69,83,60.0683537501773
32,84,57.836682336969
283,85,266.914576049558
266,86,284.855246067449
284,87,293.746392348425
257,88,264.305137640895
49,89,106.867090264206
43,90,68.9984563442414
65,91,70.0263671641925
81,92,275.246609237053
295,93,338.735754926409
312,94,305.054103359295
294,95,297.944640129413
273,96,235.339686406798
89,97,86.7607018680613
84,98,83.1786282099223
310,99,286.770413321616
323,100,333.564145267049
330,101,365.139880326129
324,102,306.099108209519
282,103,295.553459311254
38,104,74.8337321911176
41,105,70.7211872217799
302,106,317.611550352647
346,107,340.909220423811
356,108,328.057395129565
342,109,345.254517628081
332,110,306.01988283288
75,111,77.322110963029
67,112,63.7015472012315
334,113,330.658657045828
341,114,319.974075315693
312,115,293.411848008298
329,116,351.060401737882
315,117,280.341859211475
36,118,76.4561396454632
29,119,60.6468216289991
46,120,272.708619762034
293,121,293.504577957825
317,122,298.062398965666
310,123,322.455191117738
284,124,304.397684935082
92,125,93.1437090778333
82,126,92.078469627945
339,127,316.478353061016
358,128,353.942545004436
382,129,319.811716203745
264,130,261.432096236102
301,131,281.882363211391
88,132,97.6772094010752
100,133,85.7386086342243
271,134,276.031524476516
329,135,282.255740278796
286,136,332.374853378853
335,137,368.291812485254
335,138,242.552959801381
66,139,98.4793190963908
83,140,88.1895397102297
92,141,308.132287323398
331,142,308.88122200446
296,143,369.295648681966
334,144,315.463623637665
261,145,279.940309840874
101,146,95.6842739925837
56,147,65.5594320127445
269,148,324.966178199833
331,149,285.79090774218
305,150,302.105952318886
83,151,368.392996898875
310,152,325.978466737136
95,153,100.208806203507
102,154,101.124484808887
332,155,347.458577069992
378,156,367.344802306749
378,157,385.649929644293
381,158,355.859796171814
309,159,325.848620624238
96,160,89.4019753290622
95,161,92.8490718830954
361,162,370.84590140647
411,163,376.361231501803
367,164,353.682341610769
337,165,360.490770022577
323,166,335.55078800914
93,167,96.5934997756712
79,168,95.4076790927177
291,169,311.137862285981
348,170,374.260749062213
371,171,365.572327854768
339,172,368.255908591109
312,173,347.65030452402
124,174,113.715595483663
97,175,103.55372165226
360,176,376.065401083351
388,177,420.61571174846
421,178,370.922769953017
350,179,370.981309279446
352,180,336.527461084326
117,181,104.673288457706
90,182,110.930541328628
375,183,367.78996018492
386,184,388.045940163187
451,185,391.819151569602
838,186,396.160302341535
359,187,357.939998583045
136,188,114.69586710248
98,189,82.8660805762582
268,190,301.611486200781
368,191,303.568941132199
297,192,374.114764418826
378,193,363.980262381078
316,194,333.038463130095
123,195,117.132306034831
132,196,103.994053519628
298,197,329.937615287705
400,198,396.728728489531
406,199,372.055248452569
375,200,359.876489518635
228,201,281.181242128762
106,202,98.5580525895018
53,203,73.4980874711786
316,204,328.661415241645
349,205,349.005556641226
355,206,353.259088888105
342,207,350.249245742704
302,208,350.919105415376
108,209,112.986203275038
114,210,116.268350631253
322,211,320.417436085172
346,212,363.751839522133
369,213,399.646464030376
775,214,358.732235385448
327,215,355.597948835593
126,216,117.37307041884
158,217,123.443870524147
374,218,317.507939807363
365,219,354.049048994279
352,220,354.822982389549
337,221,282.620446674078
266,222,288.893343113173
109,223,110.772119912858
110,224,105.044454997836
339,225,346.339666331939
337,226,344.954403815981
338,227,330.727918260568
329,228,323.83140797776
303,229,343.722890342993
149,230,115.787220584924
100,231,98.2238153675077
229,232,244.212598687201
310,233,279.798585993875
271,234,273.007347509364
254,235,322.306488495244
287,236,338.620829197324
104,237,105.897003110452
95,238,76.0174063602581
52,239,229.007368259857
249,240,333.640967050914
335,241,351.561367388553
334,242,380.370867878795
356,243,333.16051805007
95,244,84.4629892929565
80,245,95.2866468946939
306,246,338.845629026867
365,247,370.173258305641
381,248,365.617342542466
346,249,399.527515804428
354,250,345.41599344649
105,251,100.417879803734
91,252,91.6976668296959
320,253,280.930058516381
323,254,304.186925251608
287,255,285.317665855508
312,256,378.006351805494
342,257,319.039639256882
105,258,99.8388805245257
107,259,95.3769688539002
308,260,226.432232065533
206,261,313.16529739333
351,262,367.880410610482
300,263,343.649498820461
352,264,335.83405796678
100,265,97.4691760507463
102,266,88.570410540944
324,267,360.517869955683
368,268,357.786103529424
366,269,388.009021405889
382,270,386.450966539023
356,271,336.915744467252
91,272,81.1163130201329
108,273,102.256993573711
333,274,255.91241300904
304,275,314.223313142207
350,276,353.413253891703
384,277,388.368592133251
368,278,334.717534192921
102,279,84.2358653535476
98,280,91.7951995447299
364,281,341.197292759793
368,282,344.675599688773
357,283,361.314273381444
346,284,337.169618574025
325,285,305.852998869264
92,286,78.2460907043229
96,287,83.0521541072826
365,288,340.80341167206
402,289,313.887887258403
175,290,320.231813597731
355,291,356.63548602744
312,292,309.352181747498
63,293,73.5948635265925
80,294,83.2307462160812
359,295,284.727037124037
331,296,276.094031209175
181,297,295.395430308313
292,298,305.363094351034
159,299,283.035357159054
81,300,75.0084852325794
90,301,72.936801962088
343,302,301.740026074776
355,303,275.777852416501
221,304,326.017131552218
333,305,305.679305337767
286,306,256.751140965069
49,307,65.4329400425075
84,308,67.1492474275218
323,309,336.581054824871
344,310,307.723331688517
346,311,358.768903210881
362,312,335.749623097694
310,313,237.467083544399
39,314,64.24911902382
71,315,79.0764698368152
320,316,285.290437289661
329,317,311.649017628415
344,318,328.166770420107
294,319,313.577073628267
309,320,279.922722153901
48,321,49.9796552973541
51,322,58.8062984687368
298,323,247.764917700442
271,324,290.093213933461
332,325,340.349190650147
336,326,314.857274694771
288,327,274.995622206001
73,328,53.4295374358115
52,329,63.9274056112207
295,330,275.148756349802
300,331,358.926608413601
362,332,352.891256380001
332,333,305.243786697881
297,334,295.373146401528
63,335,62.1190484410833
59,336,61.1597151572914
283,337,238.424555727076
291,338,326.017636357666
328,339,349.819888386642
297,340,306.715843207721
274,341,257.439628147636
42,342,49.1125262553037
44,343,60.2710207234902
302,344,214.122715842684
293,345,287.632867783156
285,346,341.590202021985
324,347,342.339084186954
258,348,263.532501607888
58,349,61.8241962410179
55,350,59.2953131474915
260,351,167.859196065433
231,352,198.999828658557
205,353,194.731479501074
64,354,242.33460371792
77,355,128.531494817495
51,356,57.9262172174968
44,357,48.5408969003116
57,358,163.128806214973
111,359,147.820092562458
73,360,175.264080332988
65,361,200.685598507846
38,362,165.933393334341
26,363,31.0663471788335
29,364,43.9371080675488
283,365,293.257240609653
308,366,291.529424417456
310,367,288.354105451939
227,368,313.86835285395
296,369,146.992651444235
38,370,46.4085225891507
58,371,48.0431093779171
313,372,253.566389059819
308,373,328.724433478982
333,374,349.850043989903
339,375,308.904357467356
282,376,303.147559924462
72,377,55.5463229749431
71,378,49.043908552249
326,379,305.543471256758
327,380,359.064085258546
345,381,322.87425692245
319,382,321.044817663004
238,383,279.251384432943
71,384,57.5415606534892
63,385,58.7744502368208
336,386,291.453212170595
316,387,299.033521230499
321,388,280.594805814603
309,389,337.02234979389
288,390,262.365936110353
50,391,55.0555317242456
43,392,58.0038662022547
321,393,300.748492334657
313,394,324.196291499317
327,395,338.002532212713
332,396,327.159708674596
286,397,269.297682285754
52,398,48.1318263885979
51,399,44.4976376203018
279,400,281.728800002936
305,401,331.773491689411
317,402,321.91673140578
318,403,361.715164495623
307,404,265.212579026021
52,405,29.5013978118849
52,406,51.4253003907502
314,407,266.677831254517
305,408,321.02288417565
287,409,303.167342149636
295,410,322.215490312248
245,411,257.646199268531
49,412,43.3939219121113
50,413,56.4458766608455
310,414,312.508718674685
353,415,348.020216520285
347,416,357.573724427681
334,417,342.895525846704
286,418,320.206501218948
52,419,63.4135984783871
52,420,59.4429147160478
330,421,327.433090998245
305,422,247.648807112843
302,423,338.137289786903
350,424,303.188236199305
303,425,239.780817103135
54,426,46.0465468378458
63,427,65.7933511382108
372,428,325.780114482552
