,Actual,Predicted
116,29,32.08932887657817
117,28,34.0
118,27,34.0
119,22,25.891951175527456
120,4,16.62773261678209
121,5,3.0
122,30,27.71405977659344
123,28,34.0
124,28,29.0
125,25,28.0
126,21,28.0
127,6,3.0
128,3,5.229094952400512
129,29,34.0
130,30,17.62438568694001
131,24,25.44514782738717
132,26,5.943043780127656
133,16,15.207190030136797
134,4,4.0
135,4,24.718494063806318
136,34,33.44324319566374
137,15,26.8035875239589
138,34,29.0
139,28,25.58480499096643
140,17,5.039974297337853
141,5,15.519513087219842
142,4,29.0
143,33,25.0
144,28,29.0
