Day,Month,Season,Weekday,Holiday,Daily Weather,Daily Weather (Past),Humidity,Humidity (Past),Windspeed,Windspeed (Past),Apparent Temperature (Avg),Apparent Temperature (Avg) (Past),Rented Bikes,Rented Bikes (Future)
1420,December,Winter,Saturday,False,partly-cloudy-day,partly-cloudy-day,0.8,0.77,13.24,2.75,33.585,31.81,32,28
1421,December,Winter,Sunday,False,clear-day,partly-cloudy-day,0.89,0.8,5.91,13.24,39.74,33.585,28,307
1422,December,Winter,Monday,False,clear-day,clear-day,0.87,0.89,7.8,5.91,47.22,39.74,307,272
1423,December,Winter,Tuesday,False,partly-cloudy-day,clear-day,0.83,0.87,13.32,7.8,44.555,47.22,272,245
1424,December,Winter,Wednesday,False,partly-cloudy-day,partly-cloudy-day,0.87,0.83,8.36,13.32,41.125,44.555,245,249
1425,December,Winter,Thursday,False,clear-day,partly-cloudy-day,0.83,0.87,9.99,8.36,46.63,41.125,249,170
1426,December,Winter,Friday,False,wind,clear-day,0.81,0.83,14.2,9.99,49.465,46.63,170,49
1427,December,Winter,Saturday,False,clear-day,wind,0.81,0.81,11.81,14.2,46.93,49.465,49,24
1428,December,Winter,Sunday,False,partly-cloudy-day,clear-day,0.92,0.81,3.28,11.81,47.26,46.93,24,44
1429,December,Winter,Monday,False,partly-cloudy-day,partly-cloudy-day,0.89,0.92,2.35,3.28,38.175,47.26,44,116
1430,December,Winter,Tuesday,True,cloudy,partly-cloudy-day,0.93,0.89,2.24,2.35,44.995,38.175,116,36
1431,December,Winter,Wednesday,True,fog,cloudy,0.92,0.93,3.4,2.24,41.835,44.995,36,62
1432,December,Winter,Thursday,False,fog,fog,0.91,0.92,1.14,3.4,42.605,41.835,62,57
1433,December,Winter,Friday,False,partly-cloudy-day,fog,0.87,0.91,4.52,1.14,47.55,42.605,57,36
1434,December,Winter,Saturday,False,partly-cloudy-day,partly-cloudy-day,0.87,0.87,9.17,4.52,47.83,47.55,36,35
1435,December,Winter,Sunday,False,fog,partly-cloudy-day,0.93,0.87,6.68,9.17,47.74,47.83,35,63
1436,December,Winter,Monday,False,cloudy,fog,0.8,0.93,7.42,6.68,43.96,47.74,63,43
1437,January,Winter,Tuesday,True,partly-cloudy-day,cloudy,0.77,0.8,6.5,7.42,43.135,43.96,43,226
1438,January,Winter,Wednesday,True,cloudy,partly-cloudy-day,0.74,0.77,5.68,6.5,37.87,43.135,226,257
1439,January,Winter,Thursday,False,partly-cloudy-day,cloudy,0.71,0.74,3.68,5.68,36.045,37.87,257,226
1440,January,Winter,Friday,False,clear-day,partly-cloudy-day,0.75,0.71,3.66,3.68,34.24,36.045,226,41
1441,January,Winter,Saturday,False,cloudy,clear-day,0.77,0.75,6.4,3.66,37.735,34.24,41,39
1442,January,Winter,Sunday,False,partly-cloudy-day,cloudy,0.8,0.77,5.73,6.4,44.795,37.735,39,333
1443,January,Winter,Monday,False,partly-cloudy-day,partly-cloudy-day,0.82,0.8,10.25,5.73,44.795,44.795,333,344
1444,January,Winter,Tuesday,False,clear-day,partly-cloudy-day,0.7,0.82,11.33,10.25,37.125,44.795,344,349
1445,January,Winter,Wednesday,False,partly-cloudy-day,clear-day,0.78,0.7,9.19,11.33,32.105,37.125,349,317
1446,January,Winter,Thursday,False,partly-cloudy-day,partly-cloudy-day,0.87,0.78,5.41,9.19,37.645,32.105,317,262
1447,January,Winter,Friday,False,partly-cloudy-day,partly-cloudy-day,0.83,0.87,5.85,5.41,42.61,37.645,262,45
1448,January,Winter,Saturday,False,partly-cloudy-day,partly-cloudy-day,0.78,0.83,11.78,5.85,46.605,42.61,45,33
1449,January,Winter,Sunday,False,clear-day,partly-cloudy-day,0.75,0.78,15.29,11.78,46.38,46.605,33,315
1450,January,Winter,Monday,False,partly-cloudy-day,clear-day,0.69,0.75,10.44,15.29,37.795,46.38,315,341
1451,January,Winter,Tuesday,False,partly-cloudy-day,partly-cloudy-day,0.81,0.69,9.48,10.44,43.05,37.795,341,263
1452,January,Winter,Wednesday,False,partly-cloudy-day,partly-cloudy-day,0.89,0.81,10.37,9.48,37.71,43.05,263,257
1453,January,Winter,Thursday,False,clear-day,partly-cloudy-day,0.76,0.89,8.71,10.37,30.33,37.71,257,250
1454,January,Winter,Friday,False,clear-day,clear-day,0.75,0.76,6.06,8.71,34.285,30.33,250,44
1455,January,Winter,Saturday,False,partly-cloudy-day,clear-day,0.81,0.75,8.63,6.06,32.37,34.285,44,51
1456,January,Winter,Sunday,False,clear-day,partly-cloudy-day,0.81,0.81,3.56,8.63,33.035,32.37,51,303
1457,January,Winter,Monday,False,partly-cloudy-day,clear-day,0.85,0.81,4.43,3.56,32.83,33.035,303,333
1458,January,Winter,Tuesday,False,clear-day,partly-cloudy-day,0.86,0.85,6.18,4.43,32.15,32.83,333,272
1459,January,Winter,Wednesday,False,partly-cloudy-day,clear-day,0.87,0.86,6.73,6.18,28.34,32.15,272,279
1460,January,Winter,Thursday,False,partly-cloudy-day,partly-cloudy-day,0.9,0.87,3.08,6.73,37.03,28.34,279,206
1461,January,Winter,Friday,False,fog,partly-cloudy-day,0.9,0.9,6.93,3.08,46.32,37.03,206,36
1462,January,Winter,Saturday,False,partly-cloudy-day,fog,0.85,0.9,12.79,6.93,40.02,46.32,36,30
1463,January,Winter,Sunday,False,wind,partly-cloudy-day,0.75,0.85,15.54,12.79,31.05,40.02,30,306
1464,January,Winter,Monday,False,clear-day,wind,0.66,0.75,10.18,15.54,28.715,31.05,306,309
1465,January,Winter,Tuesday,False,partly-cloudy-day,clear-day,0.82,0.66,3.8,10.18,30.835,28.715,309,298
1466,January,Winter,Wednesday,False,partly-cloudy-day,partly-cloudy-day,0.83,0.82,5.6,3.8,28.595,30.835,298,255
1467,January,Winter,Thursday,False,clear-day,partly-cloudy-day,0.86,0.83,7.25,5.6,27.07,28.595,255,134
1468,February,Winter,Friday,False,partly-cloudy-day,clear-day,0.91,0.86,11.48,7.25,27.555,27.07,134,34
1469,February,Winter,Saturday,False,partly-cloudy-day,partly-cloudy-day,0.8,0.91,10.45,11.48,27.795,27.555,34,46
1470,February,Winter,Sunday,False,clear-day,partly-cloudy-day,0.76,0.8,5.48,10.45,35.43,27.795,46,205
1471,February,Winter,Monday,False,fog,clear-day,0.9,0.76,10.48,5.48,42.53,35.43,205,297
1472,February,Winter,Tuesday,False,fog,fog,0.95,0.9,7.44,10.48,40.115,42.53,297,287
1473,February,Winter,Wednesday,False,wind,fog,0.9,0.95,6.55,7.44,43.54,40.115,287,339
1474,February,Winter,Thursday,False,wind,wind,0.73,0.9,16.91,6.55,40.925,43.54,339,200
1475,February,Winter,Friday,False,wind,wind,0.87,0.73,17.53,16.91,44.025,40.925,200,45
1476,February,Winter,Saturday,False,wind,wind,0.71,0.87,17.96,17.53,44.52,44.025,45,37
1477,February,Winter,Sunday,False,partly-cloudy-day,wind,0.85,0.71,8.71,17.96,35.765,44.52,37,320
1478,February,Winter,Monday,False,clear-day,partly-cloudy-day,0.76,0.85,4.35,8.71,37.98,35.765,320,332
1479,February,Winter,Tuesday,False,partly-cloudy-day,clear-day,0.82,0.76,7,4.35,45.56,37.98,332,343
1480,February,Winter,Wednesday,False,partly-cloudy-day,partly-cloudy-day,0.85,0.82,7.66,7,43.365,45.56,343,310
1481,February,Winter,Thursday,False,clear-day,partly-cloudy-day,0.8,0.85,3.86,7.66,43.575,43.365,310,268
1482,February,Winter,Friday,False,cloudy,clear-day,0.77,0.8,4.16,3.86,46.365,43.575,268,56
1483,February,Winter,Saturday,False,partly-cloudy-day,cloudy,0.91,0.77,6.34,4.16,45.18,46.365,56,62
1484,February,Winter,Sunday,False,clear-day,partly-cloudy-day,0.84,0.91,7.46,6.34,50.45,45.18,62,291
1485,February,Winter,Monday,False,partly-cloudy-day,clear-day,0.88,0.84,7.84,7.46,39.64,50.45,291,321
1486,February,Winter,Tuesday,False,clear-day,partly-cloudy-day,0.8,0.88,9.06,7.84,46.045,39.64,321,312
1487,February,Winter,Wednesday,False,partly-cloudy-day,clear-day,0.8,0.8,10,9.06,48.36,46.045,312,298
1488,February,Winter,Thursday,False,fog,partly-cloudy-day,0.82,0.8,7.69,10,49.325,48.36,298,233
1489,February,Winter,Friday,False,fog,fog,0.89,0.82,2.96,7.69,49.07,49.325,233,53
1490,February,Winter,Saturday,False,fog,fog,0.83,0.89,4.83,2.96,48.12,49.07,53,46
1491,February,Winter,Sunday,False,partly-cloudy-day,fog,0.73,0.83,3.2,4.83,48.74,48.12,46,336
1492,February,Winter,Monday,False,partly-cloudy-day,partly-cloudy-day,0.6,0.73,3.64,3.2,50.815,48.74,336,370
1493,February,Winter,Tuesday,False,clear-day,partly-cloudy-day,0.62,0.6,3.29,3.64,51.765,50.815,370,342
1494,February,Winter,Wednesday,False,clear-day,clear-day,0.71,0.62,2.76,3.29,52.64,51.765,342,325
1495,February,Winter,Thursday,False,fog,clear-day,0.87,0.71,8.12,2.76,49.215,52.64,325,300
1496,March,Spring,Friday,False,partly-cloudy-day,fog,0.82,0.87,4.88,8.12,47.51,49.215,300,69
1497,March,Spring,Saturday,False,wind,partly-cloudy-day,0.84,0.82,10.17,4.88,51.345,47.51,69,30
1498,March,Spring,Sunday,False,wind,wind,0.84,0.84,16.54,10.17,43.045,51.345,30,353
1499,March,Spring,Monday,False,partly-cloudy-day,wind,0.76,0.84,14.23,16.54,41.135,43.045,353,348
1500,March,Spring,Tuesday,False,clear-day,partly-cloudy-day,0.76,0.76,10.29,14.23,47.92,41.135,348,290
1501,March,Spring,Wednesday,False,partly-cloudy-day,clear-day,0.85,0.76,14.22,10.29,44.875,47.92,290,317
1502,March,Spring,Thursday,False,wind,partly-cloudy-day,0.73,0.85,17.86,14.22,43.76,44.875,317,279
1503,March,Spring,Friday,False,clear-day,wind,0.8,0.73,10.03,17.86,42.645,43.76,279,52
1504,March,Spring,Saturday,False,wind,clear-day,0.71,0.8,14.65,10.03,46.14,42.645,52,38
1505,March,Spring,Sunday,False,wind,wind,0.74,0.71,13.12,14.65,39.315,46.14,38,314
1506,March,Spring,Monday,False,wind,wind,0.61,0.74,13.51,13.12,44.65,39.315,314,266
1507,March,Spring,Tuesday,False,wind,wind,0.84,0.61,15.8,13.51,37.8,44.65,266,297
1508,March,Spring,Wednesday,False,wind,wind,0.64,0.84,19.48,15.8,45.13,37.8,297,238
1509,March,Spring,Thursday,False,wind,wind,0.71,0.64,16.31,19.48,50.685,45.13,238,258
1510,March,Spring,Friday,False,wind,wind,0.8,0.71,19.56,16.31,54.26,50.685,258,28
1511,March,Spring,Saturday,False,wind,wind,0.8,0.8,20.5,19.56,42.86,54.26,28,41
1512,March,Spring,Sunday,True,partly-cloudy-day,wind,0.74,0.8,13.56,20.5,38.345,42.86,41,327
1513,March,Spring,Monday,True,clear-day,partly-cloudy-day,0.73,0.74,7.53,13.56,43.78,38.345,327,323
1514,March,Spring,Tuesday,False,partly-cloudy-day,clear-day,0.82,0.73,5.76,7.53,50.34,43.78,323,33
