Month,Season,Weekday,Holiday,Daily Weather,Daily Weather (Past),Humidity,Humidity (Past),Windspeed,Windspeed (Past),Apparent Temperature (Avg),Apparent Temperature (Avg) (Past),Rented Bikes,Rented Bikes (Future)
January,Winter,Monday,False,partly-cloudy-day,fog,0.88,0.94,1.59,0.55,46.74,36.295,281,279
January,Winter,Tuesday,False,partly-cloudy-day,partly-cloudy-day,0.86,0.88,2.07,1.59,42.15000000000001,46.74,279,274
January,Winter,Wednesday,False,clear-day,partly-cloudy-day,0.86,0.86,4.13,2.07,45.45,42.15000000000001,274,161
January,Winter,Thursday,False,rain,clear-day,0.87,0.86,3.6,4.13,46.2,45.45,161,270
January,Winter,Friday,False,partly-cloudy-day,rain,0.81,0.87,7.43,3.6,56.085,46.2,270,62
January,Winter,Saturday,False,partly-cloudy-day,partly-cloudy-day,0.74,0.81,7.05,7.43,44.615,56.085,62,48
January,Winter,Sunday,False,clear-day,partly-cloudy-day,0.74,0.74,5.44,7.05,43.385,44.615,48,252
January,Winter,Monday,False,rain,clear-day,0.83,0.74,6.57,5.44,49.535,43.385,252,311
January,Winter,Tuesday,False,partly-cloudy-day,rain,0.84,0.83,4.12,6.57,39.87,49.535,311,305
January,Winter,Wednesday,False,clear-day,partly-cloudy-day,0.76,0.84,5.04,4.12,42.13,39.87,305,264
January,Winter,Thursday,False,rain,clear-day,0.77,0.76,6.71,5.04,41.05,42.13,264,306
January,Winter,Friday,False,partly-cloudy-day,rain,0.76,0.77,2.31,6.71,37.0,41.05,306,57
January,Winter,Saturday,False,partly-cloudy-day,partly-cloudy-day,0.83,0.76,1.72,2.31,39.13,37.0,57,42
January,Winter,Sunday,False,partly-cloudy-day,partly-cloudy-day,0.89,0.83,0.84,1.72,35.21,39.13,42,295
January,Winter,Monday,False,partly-cloudy-day,partly-cloudy-day,0.85,0.89,0.65,0.84,32.85,35.21,295,295
January,Winter,Tuesday,False,clear-day,partly-cloudy-day,0.85,0.85,1.38,0.65,36.285,32.85,295,290
January,Winter,Wednesday,False,partly-cloudy-day,clear-day,0.87,0.85,2.6,1.38,35.595,36.285,290,270
January,Winter,Thursday,False,partly-cloudy-day,partly-cloudy-day,0.83,0.87,0.83,2.6,32.875,35.595,270,270
January,Winter,Friday,False,rain,partly-cloudy-day,0.85,0.83,1.95,0.83,36.575,32.875,270,80
January,Winter,Saturday,False,partly-cloudy-day,rain,0.8,0.85,3.43,1.95,36.955,36.575,80,71
January,Winter,Sunday,False,clear-day,partly-cloudy-day,0.83,0.8,2.38,3.43,44.43,36.955,71,269
January,Winter,Monday,False,partly-cloudy-day,clear-day,0.81,0.83,3.59,2.38,41.615,44.43,269,294
January,Winter,Tuesday,False,partly-cloudy-day,partly-cloudy-day,0.8,0.81,2.9,3.59,44.19,41.615,294,279
January,Winter,Wednesday,False,partly-cloudy-day,partly-cloudy-day,0.77,0.8,5.95,2.9,38.91,44.19,279,296
January,Winter,Thursday,False,clear-day,partly-cloudy-day,0.81,0.77,5.28,5.95,34.85,38.91,296,274
January,Winter,Friday,False,partly-cloudy-day,clear-day,0.83,0.81,2.67,5.28,36.285,34.85,274,33
January,Winter,Saturday,False,partly-cloudy-day,partly-cloudy-day,0.84,0.83,4.13,2.67,33.13,36.285,33,43
February,Winter,Sunday,False,partly-cloudy-day,partly-cloudy-day,0.73,0.84,6.48,4.13,32.09,33.13,43,277
February,Winter,Monday,False,clear-day,partly-cloudy-day,0.74,0.73,2.56,6.48,32.25,32.09,277,255
February,Winter,Tuesday,False,partly-cloudy-day,clear-day,0.88,0.74,2.69,2.56,32.92,32.25,255,288
February,Winter,Wednesday,False,partly-cloudy-day,partly-cloudy-day,0.85,0.88,3.96,2.69,34.125,32.92,288,248
February,Winter,Thursday,False,partly-cloudy-day,partly-cloudy-day,0.84,0.85,3.56,3.96,33.09,34.125,248,249
February,Winter,Friday,False,partly-cloudy-day,partly-cloudy-day,0.74,0.84,5.47,3.56,32.995,33.09,249,50
February,Winter,Saturday,False,partly-cloudy-day,partly-cloudy-day,0.87,0.74,2.85,5.47,38.145,32.995,50,64
February,Winter,Sunday,False,partly-cloudy-day,partly-cloudy-day,0.81,0.87,2.07,2.85,41.505,38.145,64,297
February,Winter,Monday,False,partly-cloudy-day,partly-cloudy-day,0.85,0.81,1.45,2.07,42.8,41.505,297,308
February,Winter,Tuesday,False,partly-cloudy-day,partly-cloudy-day,0.83,0.85,0.53,1.45,42.05,42.8,308,289
February,Winter,Wednesday,False,partly-cloudy-day,partly-cloudy-day,0.8,0.83,0.71,0.53,39.84,42.05,289,292
February,Winter,Thursday,False,partly-cloudy-day,partly-cloudy-day,0.77,0.8,0.27,0.71,37.755,39.84,292,229
February,Winter,Friday,False,rain,partly-cloudy-day,0.87,0.77,4.6,0.27,42.29,37.755,229,52
February,Winter,Saturday,False,partly-cloudy-day,rain,0.9,0.87,1.38,4.6,44.790000000000006,42.29,52,60
February,Winter,Sunday,False,fog,partly-cloudy-day,0.88,0.9,0.96,1.38,42.14,44.790000000000006,60,262
February,Winter,Monday,False,rain,fog,0.91,0.88,0.73,0.96,40.155,42.14,262,279
February,Winter,Tuesday,False,clear-day,rain,0.76,0.91,2.57,0.73,39.535,40.155,279,290
February,Winter,Wednesday,False,clear-day,clear-day,0.78,0.76,2.87,2.57,42.45,39.535,290,239
February,Winter,Thursday,False,rain,clear-day,0.86,0.78,4.81,2.87,42.71,42.45,239,220
February,Winter,Friday,False,rain,rain,0.88,0.86,0.79,4.81,40.115,42.71,220,53
February,Winter,Saturday,False,partly-cloudy-day,rain,0.82,0.88,2.3,0.79,35.4,40.115,53,40
February,Winter,Sunday,False,rain,partly-cloudy-day,0.87,0.82,4.78,2.3,38.75,35.4,40,290
February,Winter,Monday,False,clear-day,rain,0.75,0.87,5.8,4.78,38.285,38.75,290,290
February,Winter,Tuesday,False,clear-day,clear-day,0.71,0.75,5.49,5.8,42.29,38.285,290,254
February,Winter,Wednesday,False,partly-cloudy-day,clear-day,0.82,0.71,1.32,5.49,50.385,42.29,254,306
February,Winter,Thursday,False,rain,partly-cloudy-day,0.86,0.82,2.54,1.32,42.31,50.385,306,281
February,Winter,Friday,False,clear-day,rain,0.73,0.86,1.97,2.54,43.57,42.31,281,63
February,Winter,Saturday,False,rain,clear-day,0.87,0.73,5.8,1.97,44.24,43.57,63,76
March,Spring,Sunday,False,rain,rain,0.73,0.87,6.94,5.8,43.045,44.24,76,286
