Month,Season,Weekday,Holiday,Daily Weather,Daily Weather (Past),Humidity,Humidity (Past),Windspeed,Windspeed (Past),Apparent Temperature (Avg),Apparent Temperature (Avg) (Past),Rented Bikes,Rented Bikes (Future)
August,Summer,Friday,False,partly-cloudy-day,partly-cloudy-day,0.67,0.74,0.41,2.64,66.11,63.24,327,126
August,Summer,Saturday,False,partly-cloudy-day,partly-cloudy-day,0.7,0.67,0.99,0.41,65.77000000000001,66.11,126,158
August,Summer,Sunday,False,partly-cloudy-day,partly-cloudy-day,0.63,0.7,1.95,0.99,70.985,65.77000000000001,158,374
August,Summer,Monday,False,partly-cloudy-day,partly-cloudy-day,0.8,0.63,3.07,1.95,65.055,70.985,374,365
August,Summer,Tuesday,False,partly-cloudy-day,partly-cloudy-day,0.75,0.8,0.12,3.07,64.59,65.055,365,352
August,Summer,Wednesday,False,partly-cloudy-day,partly-cloudy-day,0.76,0.75,2.74,0.12,66.255,64.59,352,337
August,Summer,Thursday,False,rain,partly-cloudy-day,0.88,0.76,3.16,2.74,67.015,66.255,337,266
August,Summer,Friday,False,fog,rain,0.9,0.88,1.3,3.16,63.025,67.015,266,109
August,Summer,Saturday,False,partly-cloudy-day,fog,0.71,0.9,2.06,1.3,59.3,63.025,109,110
August,Summer,Sunday,False,partly-cloudy-day,partly-cloudy-day,0.72,0.71,0.35,2.06,60.065,59.3,110,339
August,Summer,Monday,False,partly-cloudy-day,partly-cloudy-day,0.64,0.72,1.59,0.35,63.41,60.065,339,337
August,Summer,Tuesday,False,partly-cloudy-day,partly-cloudy-day,0.7,0.64,1.99,1.59,60.65,63.41,337,338
August,Summer,Wednesday,False,rain,partly-cloudy-day,0.77,0.7,2.28,1.99,64.475,60.65,338,329
August,Summer,Thursday,False,partly-cloudy-day,rain,0.87,0.77,2.39,2.28,67.715,64.475,329,303
August,Summer,Friday,False,partly-cloudy-day,partly-cloudy-day,0.75,0.87,3.14,2.39,68.295,67.715,303,149
August,Summer,Saturday,False,partly-cloudy-day,partly-cloudy-day,0.68,0.75,2.04,3.14,75.39500000000002,68.295,149,100
August,Summer,Sunday,False,partly-cloudy-day,partly-cloudy-day,0.71,0.68,1.5,2.04,62.97,75.39500000000002,100,229
August,Summer,Monday,False,rain,partly-cloudy-day,0.92,0.71,1.49,1.5,57.27500000000001,62.97,229,310
August,Summer,Tuesday,False,rain,rain,0.88,0.92,3.34,1.49,62.925,57.27500000000001,310,271
August,Summer,Wednesday,False,rain,rain,0.88,0.88,4.69,3.34,61.36,62.925,271,254
August,Summer,Thursday,False,partly-cloudy-day,rain,0.82,0.88,2.81,4.69,58.055,61.36,254,287
August,Summer,Friday,False,partly-cloudy-day,partly-cloudy-day,0.75,0.82,2.58,2.81,62.98,58.055,287,104
August,Summer,Saturday,False,clear-day,partly-cloudy-day,0.8,0.75,1.08,2.58,65.47,62.98,104,95
August,Summer,Sunday,False,partly-cloudy-day,clear-day,0.85,0.8,1.92,1.08,63.13500000000001,65.47,95,52
August,Summer,Monday,True,rain,partly-cloudy-day,0.93,0.85,2.32,1.92,57.85,63.13500000000001,52,249
September,Autumn,Tuesday,False,partly-cloudy-day,rain,0.85,0.93,1.33,2.32,56.235,57.85,249,335
September,Autumn,Wednesday,False,partly-cloudy-day,partly-cloudy-day,0.81,0.85,1.14,1.33,55.895,56.235,335,334
September,Autumn,Thursday,False,partly-cloudy-day,partly-cloudy-day,0.79,0.81,1.59,1.14,55.62000000000001,55.895,334,356
September,Autumn,Friday,False,partly-cloudy-day,partly-cloudy-day,0.76,0.79,1.62,1.59,53.95,55.62000000000001,356,95
September,Autumn,Saturday,False,partly-cloudy-day,partly-cloudy-day,0.8,0.76,1.59,1.62,50.95,53.95,95,80
September,Autumn,Sunday,False,partly-cloudy-day,partly-cloudy-day,0.73,0.8,1.41,1.59,56.52500000000001,50.95,80,306
September,Autumn,Monday,False,partly-cloudy-day,partly-cloudy-day,0.79,0.73,1.48,1.41,57.44,56.52500000000001,306,365
September,Autumn,Tuesday,False,partly-cloudy-day,partly-cloudy-day,0.8,0.79,1.31,1.48,57.9,57.44,365,381
September,Autumn,Wednesday,False,partly-cloudy-day,partly-cloudy-day,0.77,0.8,2.27,1.31,58.955,57.9,381,346
September,Autumn,Thursday,False,clear-day,partly-cloudy-day,0.76,0.77,2.45,2.27,60.82000000000001,58.955,346,354
September,Autumn,Friday,False,partly-cloudy-day,clear-day,0.72,0.76,2.29,2.45,65.205,60.82000000000001,354,105
September,Autumn,Saturday,False,partly-cloudy-day,partly-cloudy-day,0.73,0.72,2.28,2.29,58.98,65.205,105,91
September,Autumn,Sunday,False,partly-cloudy-day,partly-cloudy-day,0.79,0.73,1.15,2.28,57.985,58.98,91,320
September,Autumn,Monday,False,rain,partly-cloudy-day,0.85,0.79,2.78,1.15,57.26,57.985,320,323
September,Autumn,Tuesday,False,partly-cloudy-day,rain,0.83,0.85,3.58,2.78,57.8,57.26,323,287
September,Autumn,Wednesday,False,rain,partly-cloudy-day,0.92,0.83,2.46,3.58,53.945,57.8,287,312
September,Autumn,Thursday,False,partly-cloudy-day,rain,0.81,0.92,2.41,2.46,58.0,53.945,312,342
September,Autumn,Friday,False,partly-cloudy-day,partly-cloudy-day,0.85,0.81,0.59,2.41,57.79,58.0,342,105
September,Autumn,Saturday,False,partly-cloudy-day,partly-cloudy-day,0.79,0.85,0.89,0.59,55.72,57.79,105,107
September,Autumn,Sunday,False,clear-day,partly-cloudy-day,0.81,0.79,1.51,0.89,60.77,55.72,107,308
